XCoord,YCoord,FID,COUNTY,TOWN,DEC_WELL_N,FOIL_LOC,LATITUDE,LONGITUDE,WELL_DEPTH,ROCK_DEPTH,GW_DEPTH,CASED_DEPT,SCR,YT_AVGDISC,REGNUMBER,DDLAT,DDLONG
198436.10974839,4731194.93790328,4750,ERIE,Colden,E2420,BLANCHARD RD,42 40 26.8,78 40 48.7,44,20,17,20,N,2.5,NYRD10050,42.674111,-78.680194
201769.63269479,4730963.86676794,4751,ERIE,Colden,E2471,BLANCHARD RD,42 40 24.0,78 38 22.1,60,20, ,22.5,N,1,NYRD10009,42.673333,-78.639472
201889.06774526,4732358.82507392,4752,ERIE,Colden,E2593,DARIEN RD,42 41 09.3,78 38 19.5,98,14, ,15,N,1,NYRD10050,42.685917,-78.638750
197274.01553260,4733251.72154269,4753,ERIE,Colden,E2791,BURR RD,42 41 31.7,78 41 43.6,125,10,16,18,N,4.1999998093,NYRD10408,42.692139,-78.695444
197348.57587284,4733236.09284843,4754,ERIE,Colden,E2941,BURR RD,42 41 31.3,78 41 40.3,80,13,19,15,N,3,NYRD10408,42.692028,-78.694528
201808.19392505,4731435.08807718,4755,ERIE,Colden,E3277,BLEISTEIN RD,42 40 39.3,78 38 21.3,60,12,15,16,N,4,NYRD10408,42.677583,-78.639250
200313.05785908,4731614.07232932,4756,ERIE,Colden,E3327,IRISH RD,42 40 43.0,78 39 27.2,70,16,20,15.5,N,3,NYRD10050,42.678611,-78.657556
201990.53223793,4728413.77001707,4757,ERIE,Colden,E3346,PARTRIDGE RD,42 39 01.8,78 38 07.6,75,16,30,15.5,N,4,NYRD10050,42.650500,-78.635444
205409.77299062,4725179.95319494,4758,ERIE,Colden,E3349,CRUMP RD,42 37 21.9,78 35 31.7,120,86,60,86,N,20,NYRD10009,42.622750,-78.592139
202410.07999519,4732120.03027017,4759,ERIE,Colden,E3390,DARIEN RD,42 41 02.3,78 37 56.2,60,20,18,23,N,6,NYRD10408,42.683972,-78.632278
205319.87462831,4728645.21327691,4760,ERIE,Colden,E3573,LEWIS RD,42 39 13.9,78 35 42.1,70,20,48,19.5,N,0.69999998808,NYRD10050,42.653861,-78.595028
181508.79717178,4710257.22576596,4761,ERIE,Collins,E1210,WEST BECKER RD,42 28 45.0,78 52 28.7,143, , , ,N,0.5,NYRD10050,42.479167,-78.874639
NULL,NULL,4762,ERIE,Collins,E1246,SISSON HWY, , ,80,44,44,44,N,10,NYRD10050,0.000000,0.000000
184264.77577193,4714258.68950737,4763,ERIE,Collins,E1320,SISSON HWY,42 30 58.5,78 50 36.2,80,50, ,49.5,N,3.5,NYRD10050,42.516250,-78.843389
178390.95216524,4714098.11701507,4764,ERIE,Collins,E1325,QUAKER RD,42 30 44.6,78 54 52.7,100,37,20,37.700000763,N,60,NYRD10050,42.512389,-78.914639
178127.02183386,4708387.71882664,4765,ERIE,Collins,E1333,GOWANDA ZOAR RD,42 27 39.5,78 54 52.7,43,-999, ,43,N,4.5,NYRD10050,42.460972,-78.914639
184425.15920587,4710986.93261876,4766,ERIE,Collins,E1347,KONERT RD,42 29 12.9,78 50 22.7,60,-999, ,40,N,0,NYRD10408,42.486917,-78.839639
178054.39100192,4710629.40852702,4767,ERIE,Collins,E1386,SOUTH QUAKER RD,42 28 51.9,78 55 00.4,198,25,18,20,Y,0.10000000149,NYRD10134,42.481083,-78.916778
184593.20280281,4713684.24969596,4768,ERIE,Collins,E1671,BROWN ST,42 30 40.4,78 50 20.7,130,77,22, ,N,3,NYRD10134,42.511222,-78.839083
174833.79934270,4717367.69639559,4769,ERIE,Collins,E1712,HEMLOCK RD,42 32 25.0,78 57 34.9,60,29,35, ,N,10,NYRD10518,42.540278,-78.959694
185618.49308397,4715974.87372773,4770,ERIE,Collins,E1745,LENOX RD,42 31 56.0,78 49 40.4,112,97,21, ,N,7,NYRD10134,42.532222,-78.827889
178496.94063233,4714164.32429581,4771,ERIE,Collins,E2355,QUAKER ST,42 30 46.9,78 54 48.2,26,-999,12,26,N,10,NYRD10408,42.513028,-78.913389
186551.44114420,4711054.70785731,4772,ERIE,Collins,E2388,EAST BECKER RD,42 29 18.2,78 48 49.9,19,-999,4,19,N,12,NYRD10408,42.488389,-78.813861
186538.37883944,4710307.21222983,4773,ERIE,Collins,E2479,WILSON RD,42 28 54.0,78 48 49.0,220,-999,90,220,N,5,NYRD10408,42.481667,-78.813611
179977.76937222,4708163.34839025,4774,ERIE,Collins,E2713,GOWANDA ZOAR RD,42 27 35.0,78 53 31.4,150, , , ,N,0,NYRD10203,42.459722,-78.892056
187515.81217296,4713475.05700616,4775,ERIE,Collins,E2731,BROWN ST,42 30 37.9,78 48 12.5,72,-999,15, ,N,10,NYRD10082,42.510528,-78.803472
NULL,NULL,4776,ERIE,Collins,E2804,WEST BECKER RD, , ,220,150, ,166,N,3,NYRD10408,0.000000,0.000000
184893.80590769,4707234.48529013,4777,ERIE,Collins,E2841,ZOAR VALLEY RD,42 27 12.2,78 49 54.8,140,117,85, ,N,10,NYRD10518,42.453389,-78.831889
180590.77499719,4712243.84244462,4778,ERIE,Collins,E2909,RT 39,42 29 47.9,78 53 12.8,180,137,80,138,N,1.5,NYRD10408,42.496639,-78.886889
178519.72620206,4711637.41396973,4779,ERIE,Collins,E2930,BAGDAD RD,42 29 25.2,78 54 42.1,107,-999, ,107,N,10,NYRD10091,42.490333,-78.911694
189284.22577462,4710926.01366636,4780,ERIE,Collins,E3343,EAGLE CREST DR,42 29 18.0,78 46 50.2,311,-999,120,311,N,50,NYRD10009,42.488333,-78.780611
179234.48670024,4710216.31891200,4781,ERIE,Collins,E3361,WEST BECKER RD,42 28 40.3,78 54 08.0,70,20,10,21,N,3,NYRD10408,42.477861,-78.902222
181697.71471051,4708582.29103673,4782,ERIE,Collins,E3363,LONE RD,42 27 51.1,78 52 17.1,100,-999,50,100,N,3,NYRD10408,42.464194,-78.871417
187454.12466872,4714850.33873254,4783,ERIE,Collins,E3389,WOODSIDE RD,42 31 22.3,78 48 17.9,42,-999,18,42,N,5,NYRD10050,42.522861,-78.804972
187174.20086236,4713456.40797412,4784,ERIE,Collins,E3438,RICH RD,42 30 36.8,78 48 27.4,64,52,32,58,N,100,NYRD10009,42.510222,-78.807611
186728.02911892,4713553.76920298,4785,ERIE,Collins,E3565,BROWN ST,42 30 39.3,78 48 47.1,100,82, ,82,N, ,NYRD10009,42.510917,-78.813083
198249.59521247,4716413.38884042,4786,ERIE,Concord,E1203,SPRINGVILLE BOSTON RD,42 32 28.3,78 40 28.7,80,-999,53,80,N,30,NYRD10050,42.541194,-78.674639
195833.22422688,4723077.66308717,4787,ERIE,Concord,E1205,ABBOTT HILL RD,42 36 00.5,78 42 27.2,120,90,90,90.699996948,N,15,NYRD10050,42.600139,-78.707556
NULL,NULL,4788,ERIE,Concord,E1243,ADAMS RD, , ,60,30, ,34,N, ,NYRD10091,0.000000,0.000000
194386.57950599,4718019.50514098,4789,ERIE,Concord,E1250,GENESEE RD,42 33 14.8,78 43 20.8,75,46,46,46,N,4,NYRD10050,42.554111,-78.722444
198995.38191303,4722225.71267082,4790,ERIE,Concord,E1260,MANCHESTER RD,42 35 37.4,78 40 07.1,85,54,54.25,54.299999237,N,15,NYRD10050,42.593722,-78.668639
191748.63725746,4709490.40521996,4791,ERIE,Concord,E1266,ZOAR RD,42 28 35.1,78 44 59.7,34,-999,11,33.5,N,1.7000000477,NYRD10050,42.476417,-78.749917
192207.85838575,4715265.76186226,4792,ERIE,Concord,E1274,CONCORD RD,42 31 42.6,78 44 50.8,20,-999,10,18.25,N,6,NYRD10408,42.528500,-78.747444
197055.75440247,4717287.49653463,4793,ERIE,Concord,E1284,TOWNSEND RD,42 32 54.9,78 41 22.6,30, , , ,N, ,NYRD10091,42.548583,-78.689611
196391.11857638,4717715.23400072,4794,ERIE,Concord,E1299,TRANSIT LINE RD,42 33 07.8,78 41 52.5,60,27,10,26.5,N,20,NYRD10050,42.552167,-78.697917
196695.86501950,4715272.50560027,4795,ERIE,Concord,E1313,MIDDLE RD,42 31 49.2,78 41 34.5,120,20,60,28.5,N,15,NYRD10408,42.530333,-78.692917
196768.52789855,4714474.98842774,4796,ERIE,Concord,E1344,TRANSIT LINE RD,42 31 23.5,78 41 29.8,120,43,10,58,N,3,NYRD10408,42.523194,-78.691611
192988.99754582,4718507.70156114,4797,ERIE,Concord,E1366,TREVITT RD,42 33 28.6,78 44 22.9,100,30,40,38.75,N,5.5,NYRD10408,42.557944,-78.739694
193079.31829758,4720757.07308057,4798,ERIE,Concord,E1465,TREVETT RD,42 34 41.5,78 44 23.3,80,10,14,49,N,12,NYRD10408,42.578194,-78.739806
197542.17102428,4717699.01910369,4799,ERIE,Concord,E1468,GENESEE RD,42 33 08.9,78 41 02.1,80, ,15, ,N,8,NYRD10408,42.552472,-78.683917
193648.18833811,4720861.76039773,4800,ERIE,Concord,E1508,MOORE RD,42 34 45.7,78 43 58.6,95,22, ,22.5,N,2,NYRD10050,42.579361,-78.732944
200984.18684084,4712611.11132015,4801,ERIE,Concord,E1549,CREEK RD,42 30 29.1,78 38 21.9,32, , , ,Y,6,NYRD10050,42.508083,-78.639417
200602.57228308,4716917.39238625,4802,ERIE,Concord,E1877,RT 240,42 32 47.9,78 38 46.7,95,45, , ,N,6,NYRD10091,42.546639,-78.646306
200684.20615763,4717114.77036985,4803,ERIE,Concord,E1891,RT 240,42 32 54.4,78 38 43.5,90,65,45, ,N,45,NYRD10091,42.548444,-78.645417
200780.53421535,4711544.31767373,4804,ERIE,Concord,E2350,N/A,42 29 54.3,78 38 28.8,170,147,48,150,N,5,NYRD10134,42.498417,-78.641333
198465.54288769,4714119.93127327,4805,ERIE,Concord,E2354,NORTH CENTRAL AVE,42 31 14.4,78 40 14.9,40,-999,18,40,N,12,NYRD10408,42.520667,-78.670806
197915.72381558,4716304.26215637,4806,ERIE,Concord,E2386,TOWNSEND RD,42 32 24.3,78 40 43.1,152,115,44, ,N,3,NYRD10134,42.540083,-78.678639
194769.53919027,4723139.85488426,4807,ERIE,Concord,E2736,N/A,42 36 01.0,78 43 13.9,150,-999, ,150,N, ,NYRD10091,42.600278,-78.720528
196447.88586120,4722043.09347391,4808,ERIE,Concord,E2901,SHARP ST,42 35 27.9,78 41 58.3,150,136,55,140,N,15,NYRD10408,42.591083,-78.699528
193956.32054071,4712604.52893585,4809,ERIE,Concord,E3066,TREVETT RD,42 30 19.0,78 43 29.2,178,-999,166,175,N, ,NYRD10009,42.505278,-78.724778
199010.82512818,4721897.41781552,4810,ERIE,Concord,E3323,MANCHESTER RD,42 35 26.8,78 40 05.8,100,42,22,53,N,8,NYRD10408,42.590778,-78.668278
196895.74422204,4717758.10447736,4811,ERIE,Concord,E3439,GENESEE RD,42 33 09.9,78 41 30.5,55,29,16,32.5,N,10,NYRD10082,42.552750,-78.691806
190643.48797219,4720231.54390525,4812,ERIE,Concord,E3520,WYNDALE RD,42 34 21.0,78 46 08.9,195,175,53,174,N,15,NYRD10009,42.572500,-78.769139
195324.14396897,4716105.21772584,4813,ERIE,Concord,E3641,CONCORD RD,42 32 14.2,78 42 36.1,180,138,84,138,N,3,NYRD10408,42.537278,-78.710028
198924.49006761,4757140.74185006,4814,ERIE,Depew,E2826,NEOGA ST,42 54 26.9,78 41 17.1,33,0,12,20,N,15,NYRD10009,42.907472,-78.688083
201321.48138633,4742684.97625108,4815,ERIE,East Aurora,E1256,WILLARDSHIRE RD,42 46 42.6,78 39 04.0,55,21,20.5, ,N,6,NYRD10050,42.778500,-78.651111
202926.41899053,4735219.44818381,4816,ERIE,East Aurora,E1291,CENTER ST,42 42 43.3,78 37 39.4,80,58,0,58,N,7,NYRD10009,42.712028,-78.627611
186946.37183145,4725284.68601523,4817,ERIE,Eden,E1211,KNOLL RD,42 36 59.1,78 49 00.7,60,30,29.670000076,29.700000763,N,10,NYRD10050,42.616417,-78.816861
180164.79070782,4731709.65898715,4818,ERIE,Eden,E1224,SHADAGEE RD,42 40 16.9,78 54 10.7,34,-999,10, ,N,8,NYRD10143,42.671361,-78.902972
184192.18997773,4734174.02022834,4819,ERIE,Eden,E1229,GOWANDA STATE RD,42 41 42.6,78 51 19.1,78,-999,78, ,N, ,NYRD10050,42.695167,-78.855306
186663.09255087,4726543.30398963,4820,ERIE,Eden,E1249,HAAG RD,42 37 39.4,78 49 15.6,70,19,19.329999924, ,N, ,NYRD10050,42.627611,-78.821000
182831.33184629,4726371.43145451,4821,ERIE,Eden,E1376,KICKBUSH GOLF RD,42 37 28.2,78 52 03.1,76, ,10,25,N,4,NYRD10009,42.624500,-78.867528
178232.96303948,4729121.79972887,4822,ERIE,Eden,E1389,HEMLOCK RD,42 38 50.3,78 55 30.1,55,24,4, ,N,15,NYRD10143,42.647306,-78.925028
181846.89836778,4725516.92417912,4823,ERIE,Eden,E1420,JENNINGS RD,42 36 59.1,78 52 44.5,75,14,12,14,N,0.60000002384,NYRD10050,42.616417,-78.879028
181840.94062351,4732785.52299723,4824,ERIE,Eden,E1430,BLEY RD,42 40 54.2,78 52 59.4,80,45,30, ,N,45,NYRD10143,42.681722,-78.883167
179228.79836344,4731057.36838944,4825,ERIE,Eden,E1580,MARCH RD,42 39 54.4,78 54 50.4,50,11,6, ,N,5,NYRD10518,42.665111,-78.914000
181846.89836778,4725516.92417912,4826,ERIE,Eden,E1600,JENNINGS RD,42 36 59.1,78 52 44.5,80,12,10,14.329999924,N,2,NYRD10408,42.616417,-78.879028
181846.89836778,4725516.92417912,4827,ERIE,Eden,E1666,JENNINGS RD,42 36 59.1,78 52 44.5,80,10,5,13.420000076,N,3,NYRD10408,42.616417,-78.879028
178898.61752308,4733626.46548366,4828,ERIE,Eden,E1683,SHADAGEE RD,42 41 17.0,78 55 10.1,50,14,8,14,N,4,NYRD10050,42.688056,-78.919472
186519.42828666,4726546.71224632,4829,ERIE,Eden,E1729,HAAG RD,42 37 39.3,78 49 21.9,70,9,4,9.5,N,10,NYRD10050,42.627583,-78.822750
183718.51278693,4727051.18918310,4830,ERIE,Eden,E1755,SAUER RD,42 37 51.5,78 51 25.6,60,23,12, ,N,5,NYRD10518,42.630972,-78.857111
180545.98312631,4733441.92732663,4831,ERIE,Eden,E1830,BOWER RD,42 41 13.5,78 53 57.5,50,8,12, ,N,10,NYRD10518,42.687083,-78.899306
181041.13304353,4731567.16580172,4832,ERIE,Eden,E2321,SHADAGEE RD,42 40 13.6,78 53 32.0,41,-999,10,41,N,15,NYRD10408,42.670444,-78.892222
186898.86976074,4724789.12659080,4833,ERIE,Eden,E2394,KNOLL RD,42 36 43.0,78 49 01.8,60,-999,15,60,N,7,NYRD10050,42.611944,-78.817167
185636.98857304,4725411.96902300,4834,ERIE,Eden,E2818,CLARKSBURG RD,42 37 01.3,78 49 58.3,100,10,50,86,N,7,NYRD10408,42.617028,-78.832861
179934.31758099,4726081.11085020,4835,ERIE,Eden,E3469,SANDROCK RD,42 37 14.5,78 54 09.4,75,6,20,6.5,N,5,NYRD10050,42.620694,-78.902611
183837.69942464,4725911.17390023,4836,ERIE,Eden,E3502,YOCHUM RD,42 37 14.8,78 51 18.1,80,14,20,14,N,1.5,NYRD10050,42.620778,-78.855028
201450.19561254,4748329.47990119,4837,ERIE,Elma,E1297,RICE RD,42 49 45.4,78 39 09.1,47,34,45,34,N, ,NYRD10052,42.829278,-78.652528
NULL,NULL,4838,ERIE,Evans,E1281,INWOOD RD, , ,65,17,26,17,N,30,NYRD10050,0.000000,0.000000
170692.79847906,4726223.54400243,4839,ERIE,Evans,E1317,SOUTH MAIN ST,42 37 05.1,79 00 54.4,50,7,13, ,N,10,NYRD10143,42.618083,-79.015111
170499.87826055,4727880.79804550,4840,ERIE,Evans,E1318,NEWCOMB RD,42 37 58.4,79 01 06.3,50,9,11,9,N,5,NYRD10050,42.632889,-79.018417
174483.91358630,4726764.81320067,4841,ERIE,Evans,E1702,VERSAILLES PLANK RD,42 37 28.4,78 58 09.5,48,10, , ,N,0.80000001192,NYRD10134,42.624556,-78.969306
174540.99172923,4727250.65182745,4842,ERIE,Evans,E2201,VERSAILLES PARK,42 37 44.2,78 58 08.0,60,23,12,23,N,2,NYRD10050,42.628944,-78.968889
170366.55391055,4725846.36255621,4843,ERIE,Evans,E2395,CAIN RD,42 36 52.4,79 01 07.9,60,20,12,20.5,N,30,NYRD10050,42.614556,-79.018861
174583.69238346,4729567.57774174,4844,ERIE,Evans,E3335,VERSAILLES RD,42 38 59.2,78 58 10.9,80,4,5,8,N,0.5,NYRD10009,42.649778,-78.969694
173541.02901925,4727736.76821298,4845,ERIE,Evans,E3567,RYTHER RD,42 37 58.4,78 58 52.8,65,9,60,9,N,6,NYRD10050,42.632889,-78.981333
NULL,NULL,4846,ERIE,Grand Island,E2717,EAST RIVER RD, , ,52,50,10, ,N,35,NYRD10050,0.000000,0.000000
179077.99954940,4774876.27408803,4847,ERIE,Grand Island,E2770,EAST RIVER RD,43 03 31.4,78 56 27.0,58,54,15, ,N,20,NYRD10050,43.058722,-78.940833
175620.95721028,4773079.30823092,4848,ERIE,Grand Island,E2809,GRAND ISLAND BLVD,43 02 28.0,78 58 55.7,67,-999,21, ,N,12,NYRD10009,43.041111,-78.982139
178010.30153957,4773968.03260472,4849,ERIE,Grand Island,E3085,GARDEN PARKWAY,43 03 00.4,78 57 12.2,68,64,61, ,N, ,NYRD10009,43.050111,-78.953389
186560.60253314,4745387.09944118,4850,ERIE,Hamburg,E1306,LAKE AVE,42 47 48.8,78 49 57.6,50,22,15,21.5,N,9,NYRD10050,42.796889,-78.832667
186560.60253314,4745387.09944118,4851,ERIE,Hamburg,E1307,LAKE AVE,42 47 48.8,78 49 57.6,50,23,15,22.600000381,N,3,NYRD10050,42.796889,-78.832667
186671.98433685,4741526.96276197,4852,ERIE,Hamburg,E1406,SOUTHWESTERN BLVD,42 45 44.1,78 49 45.0,306,0,44, ,N, ,NYRD10362,42.762250,-78.829167
186228.55595868,4738588.59123099,4853,ERIE,Hamburg,E1431,MAELOU DR,42 44 08.4,78 49 58.6,50,8,5, ,N,4,NYRD10143,42.735667,-78.832944
185191.77695391,4734941.47315313,4854,ERIE,Hamburg,E2371,HAMPTON BROOK,42 42 08.9,78 50 36.8,44,41, ,41,N,40,NYRD10009,42.702472,-78.843556
206834.40332196,4731331.47494409,4855,ERIE,Holland,E1206,CHERRYWOOD RD,42 40 42.9,78 34 40.7,70,11,15, ,N,2,NYRD10050,42.678583,-78.577972
212305.53953197,4732229.70149511,4856,ERIE,Holland,E1216,HUNTERS CREEK RD,42 41 19.4,78 30 42.4,85,59,59,59,N,1.5,NYRD10050,42.688722,-78.511778
212305.53953197,4732229.70149511,4857,ERIE,Holland,E1217,HUNTERS CREEK RD,42 41 19.4,78 30 42.4,117,112,117,112.80000305,N,30,NYRD10050,42.688722,-78.511778
207382.65737890,4730869.40477629,4858,ERIE,Holland,E1270,BLANCHARD RD,42 40 28.7,78 34 15.8,60,24,35,23.799999237,N, ,NYRD10050,42.674639,-78.571056
213120.50316630,4724825.56127514,4859,ERIE,Holland,E1323,VERMONT HILL RD,42 37 20.9,78 29 53.2,69,17,25,28,N,6,NYRD10408,42.622472,-78.498111
214748.55425856,4724458.61287945,4860,ERIE,Holland,E1327,WAGNER RD,42 37 11.2,78 28 41.2,191,-999,20,191,N,10,NYRD10143,42.619778,-78.478111
210168.00304731,4723205.45150755,4861,ERIE,Holland,E1339,SAVAGE RD,42 36 24.5,78 31 59.6,63,35,19,35,N, ,NYRD10134,42.606806,-78.533222
212275.98669627,4726801.26736780,4862,ERIE,Holland,E1343,VERMONT HILL RD,42 38 23.7,78 30 33.8,70,14,14,17,N,2,NYRD10408,42.639917,-78.509389
208047.62885182,4730955.65491349,4863,ERIE,Holland,E1355,RT 16,42 40 32.4,78 33 46.8,100,70,40,83.5,N,5,NYRD10408,42.675667,-78.563000
208133.20269509,4725627.17510968,4864,ERIE,Holland,E1394,HOLLAND GLENWOOD RD,42 37 40.1,78 33 33.2,61,42, ,42.5,N,1.5,NYRD10050,42.627806,-78.559222
213186.47787870,4731262.92762612,4865,ERIE,Holland,E1414,SANDERS HILL RD,42 40 49.3,78 30 02.0,140,9,25,18.5,N,0.30000001192,NYRD10082,42.680361,-78.500556
208570.55116132,4729348.19866361,4866,ERIE,Holland,E1444,OLEAN RD,42 39 41.1,78 33 20.9,162,155,5,160.5,N,50,NYRD10408,42.661417,-78.555806
212781.83209843,4731292.08114392,4867,ERIE,Holland,E1534,RAIBER RD,42 40 49.7,78 30 19.8,110,17,25,26.25,N,0.5,NYRD10082,42.680472,-78.505500
213549.69167631,4723448.11254101,4868,ERIE,Holland,E1560,EAST HOLLAND RD,42 36 36.9,78 29 31.9,78,-999,40,78,N,20,NYRD10009,42.610250,-78.492194
213628.56368177,4723920.74695501,4869,ERIE,Holland,E1610,GEER RD,42 36 52.3,78 29 29.3,115,-999,42,115,N,20,NYRD10408,42.614528,-78.491472
208589.89095697,4730132.35969154,4870,ERIE,Holland,E1672,OLEAN RD,42 40 06.5,78 33 21.5,160,152,30,152,N,20,NYRD10408,42.668472,-78.555972
206753.82509152,4725011.68907745,4871,ERIE,Holland,E1680,GLENWOOD HOLLAND RD,42 37 18.3,78 34 32.5,155,40, , ,N, ,NYRD10070,42.621750,-78.575694
212391.05767956,4727868.81685640,4872,ERIE,Holland,E1686,HUNTERS CREEK RD,42 38 58.4,78 30 30.7,65,16,15,18,N,3.5,NYRD10408,42.649556,-78.508528
210504.29644861,4724807.65022818,4873,ERIE,Holland,E1784,SAVAGE RD,42 37 16.8,78 31 47.8,100,50,70,55,N,0.80000001192,NYRD10408,42.621333,-78.529944
210603.22869062,4725427.76752062,4874,ERIE,Holland,E2233,SAVAGE RD,42 37 37.0,78 31 44.6,145,99, ,103,N,3,NYRD10009,42.626944,-78.529056
213958.97025195,4723962.72932204,4875,ERIE,Holland,E2273,EAST HOLLAND RD,42 36 54.1,78 29 14.9,120,-999,50, ,N,15,NYRD10408,42.615028,-78.487472
212048.95470263,4725126.49467176,4876,ERIE,Holland,E2393,SOUTH PROTECTION RD,42 37 29.2,78 30 40.7,125,94,50,94,N,30,NYRD10050,42.624778,-78.511306
212227.93082140,4732665.57667895,4877,ERIE,Holland,E2432,HUNTERS HEIGHTS RD,42 41 33.4,78 30 46.6,90,25,17,34,N,1,NYRD10408,42.692611,-78.512944
213168.93502813,4731334.73157468,4878,ERIE,Holland,E2494,SANDERS HILL RD,42 40 51.6,78 30 02.9,50,16,6,16.25,N,1,NYRD10082,42.681000,-78.500806
211537.60404850,4727752.89622399,4879,ERIE,Holland,E2520,VERMONT HILL RD,42 38 53.5,78 31 07.9,65,28,4, ,N,15,NYRD10009,42.648194,-78.518861
210754.41016940,4727736.12404219,4880,ERIE,Holland,E2538,VERMONT HILL RD,42 38 51.9,78 31 42.2,80,25,15, ,N,5,NYRD10408,42.647750,-78.528389
211744.05312615,4731557.76075989,4881,ERIE,Holland,E2597,HUNTERS CREEK RD,42 40 56.9,78 31 05.8,70,22,10,21.5,N,0.25,NYRD10050,42.682472,-78.518278
213396.78978859,4723117.59762882,4882,ERIE,Holland,E2708,VERMONT HILL RD,42 36 26.0,78 29 38.0,160,145,13,156,N,100,NYRD10408,42.607222,-78.493889
213003.09940994,4724305.08100726,4883,ERIE,Holland,E2724,VERMONT HILL RD,42 37 03.9,78 29 57.4,46,-999,25,46,N,15,NYRD10082,42.617750,-78.499278
211751.82437816,4725225.37614394,4884,ERIE,Holland,E2946,SOUTH PROTECTION RD,42 37 32.0,78 30 53.9,120,49,19,53,N,4.5,NYRD10408,42.625556,-78.514972
206886.29661879,4732716.92751307,4885,ERIE,Holland,E3588,DARIEN RD,42 41 27.8,78 34 41.0,60,20,20,20,N,10,NYRD10050,42.691056,-78.578056
202761.40268521,4753134.58472454,4886,ERIE,Lancaster,E2226,BRUNCK RD,42 52 22.7,78 38 20.6,62,24,15,30,N,3,NYRD10009,42.872972,-78.639056
210767.82127082,4744269.24220218,4887,ERIE,Marilla,E1247,FOUR ROD RD,42 47 46.9,78 32 12.0,72,14,20,14,N,2.25,NYRD10050,42.796361,-78.536667
214385.79882278,4751924.47388653,4888,ERIE,Marilla,E1254,EXCHANGE ST,42 51 59.5,78 29 47.0,75,27,26.5,26.5,N,30,NYRD10050,42.866528,-78.496389
214294.55556529,4746223.47969337,4889,ERIE,Marilla,E1276,EASTWOOD RD,42 48 54.9,78 29 40.6,60,20,19,19.700000763,N,30,NYRD10050,42.815250,-78.494611
211317.89041694,4743492.10012421,4890,ERIE,Marilla,E1340,LIBERIA RD,42 47 22.5,78 31 46.4,27,7,21,20,N, ,NYRD10052,42.789583,-78.529556
214176.11017506,4745672.13642942,4891,ERIE,Marilla,E1395,EASTWOOD RD,42 48 36.9,78 29 44.8,60,18,7,18.5,N,8,NYRD10050,42.810250,-78.495778
210833.50638489,4745020.55692658,4892,ERIE,Marilla,E1407,FOUR ROD RD,42 48 11.3,78 32 10.5,95, ,30, ,N, ,NYRD10052,42.803139,-78.536250
214261.77157135,4744775.47632166,4893,ERIE,Marilla,E1429,EASTWOOD RD,42 48 08.0,78 29 39.4,110, ,51,19,N,0.5,NYRD10009,42.802222,-78.494278
211471.78284379,4743633.99426371,4894,ERIE,Marilla,E1498,LIBERIA RD,42 47 27.3,78 31 39.9,35, ,8,16.5,N,8,NYRD10052,42.790917,-78.527750
214612.43803836,4751470.04607084,4895,ERIE,Marilla,E1544,EXCHANGE ST,42 51 45.1,78 29 36.2,67,25,7,25,N,3,NYRD10009,42.862528,-78.493389
214612.43803836,4751470.04607084,4896,ERIE,Marilla,E1571,EXCHANGE ST,42 51 45.1,78 29 36.2,67,21,9,21,N,3,NYRD10009,42.862528,-78.493389
214190.53649421,4749086.36742077,4897,ERIE,Marilla,E1725,EASTWOOD RD,42 50 27.4,78 29 50.4,53,4,26, ,N, ,NYRD10134,42.840944,-78.497333
209569.65998252,4748828.73434216,4898,ERIE,Marilla,E2499,EAST AVE,42 50 12.8,78 33 13.1,23,-999,11,23,N,5,NYRD10139,42.836889,-78.553639
210681.83429665,4744010.16391027,4899,ERIE,Marilla,E2734,FOUR ROD RD,42 47 38.4,78 32 15.3,70,12,28,19,N,2,NYRD10408,42.794000,-78.537583
212925.43541501,4746181.54845096,4900,ERIE,Marilla,E2802,THREE ROD RD,42 48 51.7,78 30 40.7,70,22,30,35,N,4,NYRD10139,42.814361,-78.511306
214027.63011473,4745548.50788009,4901,ERIE,Marilla,E3162,EASTWOOD RD,42 48 32.7,78 29 51.1,70,35,7,35.5,N, ,NYRD10009,42.809083,-78.497528
209341.05059963,4743034.37484330,4902,ERIE,Marilla,E3250,TWO ROD RD,42 47 05.0,78 33 12.4,132,132,100,132,N, ,NYRD10009,42.784722,-78.553444
213812.24117283,4772280.44505459,4903,ERIE,Newstead,E1310,MAPLE RD,43 02 57.4,78 30 49.7,45, ,23, ,N,20,NYRD10009,43.049278,-78.513806
209572.82828232,4772156.57848958,4904,ERIE,Newstead,E1312,MILAND RD,43 02 47.6,78 33 56.5,26, ,1, ,N,20,NYRD10009,43.046556,-78.565694
211156.64281233,4765271.51713562,4905,ERIE,Newstead,E1337,HAVENS RD,42 59 07.0,78 32 33.8,80, , ,20,N,15,NYRD10009,42.985278,-78.542722
214906.30289405,4772698.24537644,4906,ERIE,Newstead,E1349,CEDAR ST,43 03 12.4,78 30 02.2,28,-999, ,28,N,20,NYRD10009,43.053444,-78.500611
216991.70197827,4773034.85844162,4907,ERIE,Newstead,E1448,SCOTLAND RD,43 03 26.1,78 28 30.8,28,27, ,27,N,50,NYRD10009,43.057250,-78.475222
